RA,Dec
35.96958541870117,-5.373863697052002
36.88079833984375,-5.317258358001709
36.6215934753418,-5.333128452301025
36.08114242553711,-5.372182369232178
36.896697998046875,-5.328798294067383
36.41230773925781,-5.367455959320068
37.01551818847656,-5.3668951988220215
36.043582916259766,-5.364625453948975
37.09561538696289,-5.362964153289795
36.324668884277344,-5.3618340492248535
36.340599060058594,-5.361848831176758
37.033477783203125,-5.333165168762207
36.69650650024414,-5.360240459442139
36.858787536621094,-5.361279487609863
36.82880401611328,-5.359386920928955
36.13848876953125,-5.352393627166748
36.02005386352539,-5.354687690734863
36.10420608520508,-5.354322910308838
36.71553039550781,-5.317178726196289
36.470314025878906,-5.316786289215088
36.170101165771484,-5.316245079040527
36.20121383666992,-5.350017547607422
36.05264663696289,-5.337624549865723
36.85269546508789,-5.302005767822266
36.70806884765625,-5.280409812927246
37.03023147583008,-5.277970314025879
36.274845123291016,-5.277385711669922
37.01617431640625,-5.291483402252197
36.61677169799805,-5.29155158996582
36.58689498901367,-5.291392803192139
36.2531623840332,-5.291177272796631
36.45027542114258,-5.2850422859191895
36.82368087768555,-5.2828192710876465
36.6087532043457,-5.282844066619873
36.749114990234375,-5.287224769592285
36.2899284362793,-5.282785892486572
36.99140930175781,-5.2925262451171875
36.5779914855957,-5.290423393249512
36.239051818847656,-5.289725303649902
36.747920989990234,-5.30560827255249
36.56468963623047,-5.305143356323242
36.51153564453125,-5.297460079193115
36.0555419921875,-5.277081489562988
36.131595611572266,-5.277031421661377
36.21711349487305,-5.27637243270874
36.69831085205078,-5.274109363555908
36.53415298461914,-5.2996826171875
36.8244743347168,-5.27327299118042
36.90609359741211,-5.2769341468811035
36.694732666015625,-5.284224033355713
36.63298416137695,-5.29713773727417
36.08808898925781,-5.273194313049316
36.38802719116211,-5.273202419281006
36.3527717590332,-5.259748458862305
36.50196838378906,-5.259120941162109
36.348445892333984,-5.251526832580566
36.2332878112793,-5.3003692626953125
36.10154724121094,-5.286035060882568
37.017311096191406,-5.26803731918335
36.66001892089844,-5.28092098236084
36.426761627197266,-5.247880935668945
36.470916748046875,-5.260315418243408
36.741695404052734,-5.268400192260742
36.41628646850586,-5.24622106552124
37.042884826660156,-5.245631694793701
36.45071029663086,-5.250068664550781
36.45835876464844,-5.237193584442139
36.406307220458984,-5.335301399230957
37.03355407714844,-5.2550249099731445
36.818626403808594,-5.231700897216797
36.40622329711914,-5.244086265563965
36.46882247924805,-5.238397598266602
36.65250015258789,-5.23637580871582
36.893619537353516,-5.235159873962402
36.86233901977539,-5.243368625640869
36.55845642089844,-5.26439905166626
36.103790283203125,-5.343591690063477
36.530174255371094,-5.334661483764648
36.34504699707031,-5.219048023223877
36.39158630371094,-5.224781513214111
36.63557815551758,-5.224581718444824
36.848655700683594,-5.215859413146973
36.38437271118164,-5.218212127685547
36.93914031982422,-5.251674175262451
36.82221603393555,-5.204352378845215
36.290802001953125,-5.212955474853516
36.8282585144043,-5.2402448654174805
36.546077728271484,-5.215268611907959
36.99495315551758,-5.215075492858887
36.4949951171875,-5.212405204772949
36.302894592285156,-5.221445560455322
36.784000396728516,-5.220893383026123
