oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,stellar,class_name,classifier_name,classfier_version,probability,ranking,matched_oids
170028526620115087,1,1,186.1572756539932,7.2082494584894015,5.179166604256734e-07,5.651266808478449e-07,61090.247937232445,61098.24137255241,7.993435319964192,520,576,0,,AGN,stamp_classifier_rubin,,0.98090106,1,ZTF24aaiycse
313963404992184401,1,1,150.62146928921533,2.1588286097765277,1.158931990949797e-07,1.2034853325743032e-07,61049.31260644998,61099.31781569319,50.00520924320881,999,1011,0,,AGN,stamp_classifier_rubin,,0.98082834,1,ZTF21aafjmdk
170028526534131828,1,1,187.72732961890057,6.529108753317606,3.6052211210998907e-07,3.762183554328142e-07,61090.247937232445,61098.24137255241,7.993435319964192,416,423,0,,AGN,stamp_classifier_rubin,,0.9800924,1,ZTF24aajcrfl
170028527973302368,1,1,187.31014092924525,8.518897681505306,1.1459952277282953e-06,1.2541822206542005e-06,61090.25309120117,61098.24137255241,7.988281351237674,127,136,0,,AGN,stamp_classifier_rubin,,0.9797773,1,ZTF21acpgvtf
313875416840929413,1,1,150.732521785575,2.044927294639266,1.5129637968148194e-06,1.5944580205597078e-06,61029.33108400384,61097.26793868918,67.93685468534386,272,916,0,,AGN,stamp_classifier_rubin,,0.9794103,1,ZTF25aaebmsf
170050543269445740,1,1,189.07544947451575,8.389369817141118,1.7634443793212995e-05,1.5627590983058326e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin,,0.9790202,1,ZTF21aautxqr
170028529317052506,1,1,187.4564578609893,8.213450026928129,4.555781161123473e-07,4.8668773005836e-07,61090.24986030235,61098.22936006922,7.979499766865047,262,263,0,,AGN,stamp_classifier_rubin,,0.978958,1,ZTF24aaqaroi
170028526449197298,1,1,185.42416108186305,8.097883389238026,5.493209605073973e-07,6.233369052229104e-07,61090.247937232445,61098.24137255241,7.993435319964192,500,567,0,,AGN,stamp_classifier_rubin,,0.97887737,1,ZTF24aajckgi
170028526465974408,1,1,185.62847852522617,7.552035195960535,6.361810843218753e-07,7.33846228265808e-07,61090.247937232445,61098.24137255241,7.993435319964192,468,576,0,,AGN,stamp_classifier_rubin,,0.97873,1,ZTF21aapqylb
170050543265775719,1,1,188.75790543302887,7.607295741846392,7.271913636941463e-05,5.708275784854777e-05,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin,,0.97869897,1,ZTF23aanddwt
170028510637195392,1,1,151.3050027650134,3.4248466606440764,1.1703921830331162e-06,1.2153793227994036e-06,61090.18106558244,61098.27558588278,8.094520300342992,229,615,0,,AGN,stamp_classifier_rubin,,0.9786225,1,ZTF25aadwhpi
170032911737683987,1,1,148.44118993995747,2.241851044369248,1.6125852198456414e-05,2.251550540677272e-05,61091.211591491025,61091.211591491025,0.0,1,0,0,,AGN,stamp_classifier_rubin,,0.9782723,1,ZTF18acrmlwp
170050543252668544,1,1,188.90270920289075,8.848640719488152,1.0270874554407785e-05,9.73813803284429e-06,61095.328047180985,61095.328047180985,0.0,1,0,0,,AGN,stamp_classifier_rubin,,0.9776073,1,ZTF24aajcuof
